Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
Aflac Inc,AFL,,,,,,,4/11/2016,Narrow,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Strong,62.83,,,7/5/2022,C,D,C,0,,8,,,,,77.61,,
Agilent Technologies Inc,A,7/5/2022,3,Active,115,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,123.09,,,7/5/2022,C,C,B,0,284.75,7,,,,,20.45,80.5,155.25
Air Products & Chemicals Inc,APD,7/5/2022,4,Active,317,Medium,Exemplary,7/5/2022,Narrow,Positive,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Strong,285.74,,,7/5/2022,C,D,A,0,314.82,4,,,,,34.47,221.9,427.95
Akamai Technologies Inc,AKAM,7/5/2022,3,Active,85,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,100.03,,,7/5/2022,C,C,B,0,368.08,4,,,,,50.34,51,131.75
Alaska Air Group Inc,ALK,,,,,,,8/22/2019,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,58.28,,,7/5/2022,D,D,C,0.01,588.28,8,,,,,45.06,,
Albemarle Corp,ALB,7/5/2022,4,Active,320,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,284.32,,,7/5/2022,C,D,C,0,524.98,9,,,,,42.91,192,496
Alexandria Real Estate Equities Inc,ARE,,,,,,,2/7/2013,Narrow,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,200.76,,,7/5/2022,C,C,B,0,563.47,5,,,,,36.45,,
Align Technology Inc,ALGN,7/5/2022,,Under Review,,High,Standard,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Moderate,371.13,,,7/5/2022,B,A,B,0,,10,,,,,2.97,,
Allegion PLC,ALLE,7/5/2022,4,Active,132,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,120.84,,,7/5/2022,C,C,B,0,356.51,8,,,,,28.27,92.4,178.2
Alliant Energy Corp,LNT,7/5/2022,2,Active,54,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,1,7/5/2022,Narrow,Overvalued,Low,Moderate,54.34,,,7/5/2022,C,C,B,0,646.27,9,,,,,64.57,43.2,67.5
Allstate Corp,ALL,7/5/2022,3,Active,125,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,136.88,,,7/5/2022,B,D,D,0.09,,7,,,,,59.53,87.5,168.75
Alphabet Inc Class A,GOOGL,7/5/2022,4,Active,"3,600.00",High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,"3,030.49",,,7/5/2022,B,B,A,0,145.46,8,,,,,34.09,"2,160.00","5,580.00"
Alphabet Inc Class C,GOOG,7/5/2022,4,Active,"3,600.00",High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,"3,047.18",,,7/5/2022,B,B,A,0,145.46,8,,,,,35.12,"2,160.00","5,580.00"
Altria Group Inc,MO,7/5/2022,4,Active,52,Medium,Poor,7/5/2022,Wide,Negative,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,45.12,,,7/5/2022,C,A,B,0,608.46,7,,,,,77.15,36.4,70.2
Amazon.com Inc,AMZN,7/5/2022,5,Active,192,High,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,167.42,,,7/5/2022,B,B,B,0,428.62,8,,,,,19.65,115.2,297.6
Amcor PLC Ordinary Shares,AMCR,,,,,Medium,,7/6/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,12,,,7/5/2022,C,D,B,,491.51,,,,,,,,
Ameren Corp,AEE,7/5/2022,2,Active,83,Low,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,1,7/5/2022,None,Overvalued,Low,Moderate,83.14,,,7/5/2022,C,C,B,0,653.91,7,,,,,70.25,66.4,103.75
American Airlines Group Inc,AAL,7/5/2022,4,Active,19,Very High,Poor,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Very High,Moderate,22.14,,,7/5/2022,D,,D,0.11,647.62,9,,,,,30.72,9.5,33.25
American Electric Power Co Inc,AEP,7/5/2022,3,Active,91,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Moderate,91.47,,,7/5/2022,C,C,B,0,666.07,8,,,,,77.36,72.8,113.75
American Express Co,AXP,7/5/2022,4,Active,173,Medium,Standard,7/5/2022,Wide,Stable,No,No,No,Yes,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,176.57,,,7/5/2022,C,B,C,0,,6,,,,,67.17,121.1,233.55
American International Group Inc,AIG,7/5/2022,4,Active,65,Medium,Standard,7/5/2022,None,Positive,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,64.77,,,7/5/2022,C,B,C,0.01,,10,,,,,74.59,45.5,87.75
American Tower Corp,AMT,7/5/2022,2,Active,210,High,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,Yes,7/5/2022,2,7/5/2022,Narrow,Overvalued,Medium,Moderate,227.04,,,7/5/2022,C,A,B,0,677.76,1,,,,,36.48,126,325.5
American Water Works Co Inc,AWK,7/5/2022,2,Active,131,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,156.56,,,7/5/2022,C,C,B,0,597.62,6,,,,,36.83,104.8,163.75
Ameriprise Financial Inc,AMP,7/5/2022,4,Active,338,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,307.78,,,7/5/2022,C,A,C,0.01,,9,,,,,63.49,202.8,523.9
AmerisourceBergen Corp,ABC,7/5/2022,3,Active,155,Medium,Standard,7/5/2022,Narrow,Negative,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,Medium,Strong,148.26,,,7/5/2022,C,,B,0,402.68,4,,,,,85.9,108.5,209.25
AMETEK Inc,AME,7/5/2022,4,Active,136,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,124.62,,,7/5/2022,C,C,B,0,309,7,,,,,42.66,95.2,183.6
Amgen Inc,AMGN,7/5/2022,3,Active,260,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,237.13,,,7/5/2022,C,A,A,0,449.45,7,,,,,70.53,156,403
Amphenol Corp Class A,APH,7/5/2022,4,Active,83,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,75.4,,,7/5/2022,C,A,A,0,293.47,7,,,,,47.72,58.1,112.05
Analog Devices Inc,ADI,7/5/2022,4,Active,172,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,164.19,,,7/5/2022,C,D,B,0,368.89,4,,,,,46.74,120.4,232.2
Ansys Inc,ANSS,7/5/2022,3,Active,242,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,270.24,,,7/5/2022,B,D,B,0,283.17,8,,,,,16.47,169.4,326.7
Aon PLC Class A,AON,7/5/2022,3,Active,250,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Overvalued,Medium,Moderate,260.25,,,7/5/2022,C,A,B,0,521.46,9,,,,,59.29,175,337.5
APA Corp,APA,7/5/2022,3,Active,35,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,38.62,,,7/5/2022,C,,C,0.01,927.4,10,,,,,99.41,21,54.25
Apple Inc,AAPL,7/5/2022,3,Active,130,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,151.75,,,7/5/2022,B,A,A,0,324.66,6,,,,,69.17,78,201.5
Applied Materials Inc,AMAT,7/5/2022,4,Active,142,High,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,145.19,,,7/5/2022,B,A,B,0,220.28,7,,,,,31.3,85.2,220.1
Aptiv PLC,APTV,7/5/2022,4,Active,141,High,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,141.35,,,7/5/2022,C,D,C,0,547.39,9,,,,,8.68,84.6,218.55
Archer-Daniels Midland Co,ADM,7/5/2022,3,Active,65,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,78.29,,,7/5/2022,C,C,C,0,429.5,8,,,,,95.6,39,100.75
Arista Networks Inc,ANET,7/5/2022,3,Active,105,High,Exemplary,7/5/2022,Narrow,Positive,No,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,108.49,,,7/5/2022,B,C,B,0,114.82,8,,,,,69.71,63,162.75
Arthur J. Gallagher & Co,AJG,,,,,,,10/25/2010,Narrow,,,,,,,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,160.79,,,7/5/2022,C,C,C,0,561.05,5,,,,,70.5,,
Assurant Inc,AIZ,,,,,,,4/11/2016,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Strong,181.71,,,7/5/2022,C,B,B,0,,4,,,,,69.14,,
AT&T Inc,T,7/5/2022,4,Active,25,High,Poor,7/5/2022,Narrow,Stable,Yes,Yes,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,25.5,,,7/5/2022,C,D,C,0,613.1,7,,,,,49.86,15,38.75
Atmos Energy Corp,ATO,7/5/2022,2,Active,102,Low,Exemplary,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,1,7/5/2022,Narrow,Fairly Valued,Low,Moderate,105.2,,,7/5/2022,C,D,B,0,538.37,6,,,,,85.37,81.6,127.5
Autodesk Inc,ADSK,7/5/2022,4,Active,230,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,Yes,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,224.53,,,7/5/2022,B,,B,0,507.92,8,,,,,9.45,161,310.5
Automatic Data Processing Inc,ADP,7/5/2022,3,Active,228,Medium,Standard,7/5/2022,Wide,Negative,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Strong,206.05,,,7/5/2022,C,A,B,0,336.09,6,,,,,55.13,159.6,307.8
AutoZone Inc,AZO,7/5/2022,2,Active,"1,770.00",Medium,Exemplary,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,"2,036.46",,,7/5/2022,B,,B,0,,5,,,,,81.93,"1,239.00","2,389.50"
AvalonBay Communities Inc,AVB,7/5/2022,4,Active,234,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,224.73,,,7/5/2022,C,C,B,0,463.39,8,,,,,56.4,163.8,315.9
Avery Dennison Corp,AVY,7/5/2022,2,Active,140,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,164.95,,,7/5/2022,C,A,B,0,403.31,6,,,,,26.18,98,189
Baker Hughes Co Class A,BKR,7/5/2022,3,Active,31,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,31.72,,,7/5/2022,D,F,C,0,579.87,,,,,,95.25,18.6,48.05
Ball Corp,BALL,7/5/2022,3,Active,63,High,Standard,7/5/2022,Narrow,Stable,No,Yes,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,77.58,,,7/5/2022,C,B,B,0,529.31,3,,,,,41.68,37.8,97.65
Bank of America Corp,BAC,7/5/2022,4,Active,41,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,42.52,,,7/5/2022,C,C,C,0.04,,8,,,,,43.67,28.7,55.35
Bank of New York Mellon Corp,BK,7/5/2022,4,Active,56,Medium,Standard,7/5/2022,Wide,Negative,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,57.48,,,7/5/2022,C,D,D,0.25,,7,,,,,37.91,39.2,75.6
Bath & Body Works Inc,BBWI,7/5/2022,5,Active,86,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Extreme,Moderate,63.26,,,7/5/2022,D,,C,0.04,,8,,,,,8.04,60.2,116.1
Baxter International Inc,BAX,7/5/2022,4,Active,90,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,77.71,,,7/5/2022,C,C,C,0,547.77,7,,,,,54.44,63,121.5
"Becton, Dickinson and Co",BDX,7/5/2022,4,Active,306,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,258.99,,,7/5/2022,C,C,B,0,514.01,6,,,,,63.08,214.2,413.1
Berkshire Hathaway Inc Class B,BRK.B,7/5/2022,4,Active,367,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Strong,343.59,,,7/5/2022,B,C,B,0,,6,,,,,79.55,256.9,495.45
Best Buy Co Inc,BBY,7/5/2022,5,Active,126,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,120.25,,,7/5/2022,C,A,C,0,318.49,8,,,,,16.17,75.6,195.3
Biogen Inc,BIIB,7/5/2022,5,Active,343,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,289.03,,,7/5/2022,C,C,B,0,408.94,8,,,,,22.56,205.8,531.65
Bio-Rad Laboratories Inc Class A,BIO,7/5/2022,3,Active,524,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,605.11,,,7/5/2022,C,A,B,0,547.25,6,,,,,9.4,314.4,812.2
Bio-Techne Corp,TECH,7/5/2022,3,Active,320,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Overvalued,Medium,Moderate,335.73,,,7/5/2022,C,C,A,0,230.32,6,,,,,14.48,192,496
BlackRock Inc,BLK,7/5/2022,4,Active,850,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,840.42,,,7/5/2022,B,C,C,0,309.15,8,,,,,16.64,595,"1,147.50"
Boeing Co,BA,7/5/2022,5,Active,239,High,Standard,7/5/2022,Wide,Negative,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,223.11,,,7/5/2022,D,,C,0.01,333.75,7,,,,,17.82,143.4,370.45
Booking Holdings Inc,BKNG,7/5/2022,4,Active,"3,000.00",High,Exemplary,7/5/2022,Narrow,Positive,No,No,No,Yes,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Very High,Moderate,"2,341.26",,,7/5/2022,D,C,B,0,664.97,6,,,,,48.58,"1,800.00","4,650.00"
BorgWarner Inc,BWA,7/5/2022,5,Active,73,High,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,Very High,Moderate,53.84,,,7/5/2022,C,D,C,0,447.98,8,,,,,33.28,43.8,113.15
Boston Properties Inc,BXP,7/5/2022,4,Active,120,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,115.87,,,7/5/2022,C,C,B,0,629.96,9,,,,,61.34,72,186
Boston Scientific Corp,BSX,7/5/2022,4,Active,45,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,41.69,,,7/5/2022,C,D,B,0,572.58,5,,,,,50.64,31.5,60.75
Bristol-Myers Squibb Co,BMY,7/5/2022,2,Active,68,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Overvalued,Medium,Strong,71.15,,,7/5/2022,B,D,B,0,464.16,4,,,,,77.25,47.6,91.8
Broadcom Inc,AVGO,7/5/2022,4,Active,624,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,541.16,,,7/5/2022,C,C,B,0,398.18,4,,,,,73.56,436.8,842.4
Broadridge Financial Solutions Inc,BR,7/5/2022,4,Active,175,Low,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,155.28,,,7/5/2022,C,A,B,0,450.29,6,,,,,31,140,218.75
Brown & Brown Inc,BRO,,,,,,,10/25/2010,Narrow,,,,,,,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,63.42,,,7/5/2022,B,C,B,0,430.33,10,,,,,71.82,,
Brown-Forman Corp Registered Shs -B- Non Vtg,BF.B,7/5/2022,3,Active,75,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Strong,64.53,,,7/5/2022,C,C,A,0,296.81,4,,,,,50.58,52.5,101.25
C.H. Robinson Worldwide Inc,CHRW,7/5/2022,3,Active,98,Medium,Exemplary,7/5/2022,Wide,Negative,No,No,No,Yes,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,103.12,,,7/5/2022,B,C,B,0,332.46,4,,,,,77.74,68.6,132.3
Cadence Design Systems Inc,CDNS,7/5/2022,3,Active,146,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,156.2,,,7/5/2022,B,A,A,0,193.38,7,,,,,44.95,87.6,226.3
Caesars Entertainment Inc,CZR,7/5/2022,5,Active,100,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,98.59,,,7/5/2022,B,F,D,0.11,862.33,9,,,,,6.23,60,155
Camden Property Trust,CPT,,,,,,,12/6/2010,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,150.82,,,7/5/2022,C,C,B,0,443.44,7,,,,,56.43,,
Campbell Soup Co,CPB,7/5/2022,3,Active,52,Medium,Standard,7/5/2022,Wide,Negative,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Fairly Valued,Medium,Moderate,50.48,,,7/5/2022,C,A,B,0,500.61,6,,,,,74.04,36.4,70.2
Capital One Financial Corp,COF,7/5/2022,4,Active,161,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,169.7,,,7/5/2022,C,B,C,0.02,,8,,,,,29.57,96.6,249.55
Cardinal Health Inc,CAH,7/5/2022,3,Active,52,Medium,Standard,7/5/2022,Narrow,Negative,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,51.86,,,7/5/2022,C,F,C,0,915.52,7,,,,,68.24,36.4,70.2
CarMax Inc,KMX,7/5/2022,4,Active,155,High,Standard,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,152.03,,,7/5/2022,B,C,C,0,695.06,9,,,,,12.37,93,240.25
Carnival Corp Shs Paired with 1 sh of beneficial interest from P&O Princess,CCL,7/5/2022,5,Active,24,High,Poor,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,24,,,7/5/2022,F,F,D,0.16,957.97,10,,,,,15.09,14.4,37.2
Carrier Global Corp Ordinary Shares,CARR,7/5/2022,4,Active,48,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,47.89,,,7/5/2022,C,C,B,0,368.91,,,,,,13.98,28.8,74.4
Catalent Inc,CTLT,7/5/2022,2,Active,98,Medium,Standard,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,112.56,,,7/5/2022,C,C,B,0,443.49,7,,,,,19.9,68.6,132.3
Caterpillar Inc,CAT,7/5/2022,3,Active,189,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,195.02,,,7/5/2022,C,A,B,0,405.84,6,,,,,56.13,113.4,292.95
Cboe Global Markets Inc,CBOE,,,,,,,1/20/2015,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Strong,120.32,,,7/5/2022,B,D,B,0,385.47,6,,,,,41.06,,
CBRE Group Inc Class A,CBRE,7/5/2022,4,Active,100,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,99.63,,,7/5/2022,C,C,B,0,308.02,8,,,,,36.64,60,155
CDW Corp,CDW,,,,,,,1/29/2016,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,161.09,,,7/5/2022,B,A,B,0,447.42,7,,,,,39.52,,
