Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
Aflac Inc,AFL,4977,"New York Stock Exchange, Inc.",United States,United States,Aflac Inc,0C000009AH,0P0000007A,,,Insurance - Life,7/5/2022,55.52,"35,764.02",0.11,9.07,67.2,51.28,,5/17/2022,0.4,"[1976-10-18]	4.000000	5.000000;[1985-06-04]	2.000000	3.000000;[1986-03-03]	3.000000	4.000000;[1987-02-03]	1.000000	2.000000;[1993-06-15]	4.000000	5.000000;[1996-03-18]	2.000000	3.000000;[1998-06-09]	1.000000	2.000000;[2001-03-19]	1.000000	2.000000;",4/27/2022,5/18/2022,6/1/2022,,2.63,,2.88,10.99,9.36,-1.28,3/31/2022,6.1,"21,310.00","4,064.00",1.39,US Dollar,Yes,Yes,Financial Services,Direct Health and Medical Insurance Carriers;;,ACCIDENT & HEALTH INSURANCE;;,,,,,,Financial Services,Insurance,Insurance: Life,,Large Value,Slow Growth,,,Common Stock,,6/14/1974,,,,,,,,,,,,,,,,,,No
Agilent Technologies Inc,A,1090872,"New York Stock Exchange, Inc.",United States,United States,Agilent Technologies Inc,0C000009AO,0P0000007E,,,Diagnostics & Research,7/5/2022,120.56,"36,012.24",0.03,28.69,179.57,112.52,1.05,7/1/2022,0.21,,5/18/2022,7/5/2022,7/27/2022,,0.68,,0.7,3.43,4.45,1.13,4/30/2022,4.14,"6,527.00","1,263.00",0.81,US Dollar,Yes,Yes,Healthcare,;;Analytical Laboratory Instrument Manufacturing;;;,;INSTRUMENTS FOR MEASURING & TESTING OF ELECTRICITY;;;,,,,,,Healthcare,Medical Equipment And Services,Medical equipment,,Large Growth,Classic Growth,"Julie Utterback, CFA",5/25/2022,Common Stock,,11/18/1999,,,,,,,,,,,,,,,,,,No
Air Products & Chemicals Inc,APD,2969,"New York Stock Exchange, Inc.",United States,United States,Air Products & Chemicals Inc,0C000009AX,0P0000007L,,,Specialty Chemicals,7/5/2022,239.97,"53,218.95",0.04,24.61,316.39,216.24,0.76,6/30/2022,1.62,"[1973-05-14]	1.000000	2.000000;[1976-07-28]	1.000000	2.000000;[1986-06-06]	1.000000	2.000000;[1992-03-10]	1.000000	2.000000;[1998-06-16]	1.000000	2.000000;",5/19/2022,7/1/2022,8/8/2022,,2.6,,2.7,4.07,4.87,-1.15,3/31/2022,10.04,"11,385.10","2,234.90",6.12,US Dollar,Yes,Yes,Basic Materials,Industrial Gas Manufacturing;;;;;;,INDUSTRIAL GASES;;;;;;;,,,,,,Materials & Processing,Chemical & Synthetics,Chemicals: Specialty,,Large Blend,Cyclical,"Krzysztof Smalec, CFA",5/5/2022,Common Stock,,11/13/1961,,,,,,,,,,,,,,,,,,No
Akamai Technologies Inc,AKAM,1086222,Nasdaq - All Markets,United States,United States,Akamai Technologies Inc,0C000009B7,0P0000007V,,,Software - Infrastructure,7/5/2022,93.13,"14,929.22",0.04,24.55,123.25,86.99,1.1,,,,,,,,,,,3.99,5.93,1.1,3/31/2022,3.72,"3,522.16",615.11,,US Dollar,Yes,Yes,Technology,;All Other Business Support Services;,";BUSINESS SERVICES, N.E.C.;",,,,,,Technology,Information Technology,Computer services software and systems,,Mid Blend,Classic Growth,"Matthew Dolgin, CFA",5/3/2022,Common Stock,5/11/2012,10/29/1999,,,,,,,,,,,,,,,,,,No
Alaska Air Group Inc,ALK,766421,"New York Stock Exchange, Inc.",United States,United States,Alaska Air Group Inc,0C000009BI,0P00000087,,,Airlines,7/5/2022,41.54,"5,237.85",0.09,10.88,63.76,38.19,,2/14/2020,0.38,"[2012-03-19]	1.000000	2.000000;[2014-07-10]	1.000000	2.000000;",1/28/2020,2/18/2020,3/5/2020,,,,,8.86,9.91,0.9,3/31/2022,3.68,"7,060.00",466,0,US Dollar,Yes,Yes,Industrials,Scheduled Passenger Air Transportation,"AIR TRANSPORTATION, SCHEDULED;;",,,,,,Producer Durables,Transportation & Freight,Air transport,,Small Value,Cyclical,,,Common Stock,,1/3/1983,,,,,,,,,,,,,,,,,,No
Albemarle Corp,ALB,915913,"New York Stock Exchange, Inc.",United States,United States,Albemarle Corp,0C000009BN,0P0000008C,,,Specialty Chemicals,7/5/2022,200.43,"23,472.90",0.01,88.18,291.48,163.2,0.63,6/9/2022,0.4,"[2007-03-02]	1.000000	2.000000",5/3/2022,6/10/2022,7/1/2022,,0.78,,0.79,1.18,6.38,-2.3,3/31/2022,2.37,"3,626.39",281.38,1.57,US Dollar,Yes,Yes,Basic Materials,;All Other Miscellaneous Chemical Product and Preparation Manufacturing;;,";CHEMICAL & CHEMICAL PREPARATIONS, N.E.C.;",,,,,,Materials & Processing,Chemical & Synthetics,Chemicals: Diversified,,Mid Growth,Cyclical,"Seth Goldstein, CFA",6/22/2022,Common Stock,,2/22/1994,,,,,,,,,,,,,,,,,,No
Alexandria Real Estate Equities Inc,ARE,1035443,"New York Stock Exchange, Inc.",United States,United States,Alexandria Real Estate Equities Inc,0C000009C1,0P0000008R,,,REIT - Office,7/5/2022,149.32,"24,371.70",0.02,51.43,224.95,130,,6/29/2022,1.18,,5/31/2022,6/30/2022,7/15/2022,,3.08,,3.16,1.89,5.61,0.8,3/31/2022,2.82,"2,249.37",413.56,4.54,US Dollar,Yes,Yes,Real Estate,Lessors of Nonresidential Buildings (except Miniwarehouses),REAL ESTATE INVESTMENT TRUSTS,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Office,,Mid Blend,Hard Assets,,,Common Stock,,5/28/1997,,,,,,,,,,,,,,,,,,No
Align Technology Inc,ALGN,1097149,Nasdaq - All Markets,United States,United States,Align Technology Inc,0C000009C7,0P0000008X,,,Medical Devices,7/5/2022,254.11,"20,025.28",0.03,26.65,737.45,225.86,,,,,,,,,,,,3.49,3.91,2.74,3/31/2022,8.88,"4,031.03",705.94,,US Dollar,Yes,Yes,Healthcare,Surgical Appliance and Supplies Manufacturing,"ORTHOPEDIC, PROSTHETIC, & SURGICAL APPLIANCES",,,,,,Healthcare,Medical Equipment And Services,Medical & dental instruments & supplies,,Mid Growth,Aggressive Growth,Debbie S. Wang,6/15/2022,Common Stock,5/11/2012,1/26/2001,,,,,,,,,,,,,,,,,,No
Allegion PLC,ALLE,1579241,"New York Stock Exchange, Inc.",United States,United States,Allegion PLC,0C0000AHOC,0P000101QF,,IE00BFRT3W74,Security & Protection Services,7/5/2022,100.41,"8,816.49",0.05,18.79,148.7,93.05,0.76,6/15/2022,0.41,,4/7/2022,6/16/2022,6/30/2022,,1.53,,1.63,5.19,5.6,0.8,3/31/2022,5.21,"2,896.70",468,1.49,US Dollar,Yes,Yes,Industrials,Security Guards and Patrol Services,SECURITY SYSTEMS SERVICES,,,,,,Producer Durables,Scientific Instruments & Services,Scientific instruments: Control and filter,,Mid Blend,,"Brian Bernard, CFA, CPA",5/31/2022,Common Stock,,11/18/2013,,,,,,,,,,,,,,,,,,No
Alliant Energy Corp,LNT,352541,Nasdaq - All Markets,United States,United States,Alliant Energy Corp,0C000009CW,0P0000009L,,,Utilities - Regulated Electric,7/5/2022,57.92,"14,527.13",0.05,21.55,65.37,54.2,1.07,4/28/2022,0.43,"[1988-09-26]	1.000000	2.000000;[2016-05-20]	1.000000	2.000000;",4/14/2022,4/29/2022,5/16/2022,,2.87,,2.95,4.7,4.73,-3.58,3/31/2022,2.72,"3,836.00",692,1.64,US Dollar,Yes,Yes,Utilities,Hydroelectric Power Generation;;,ELECTRIC & OTHER SERVICES COMBINED;;,,,,,,Utilities,Utilities,Utilities: Electrical,,Mid Blend,Slow Growth,"Andrew Bischof, CFA, CPA",5/2/2022,Common Stock,,6/30/1972,,,,,,,,,,,,,,,,,,No
Allstate Corp,ALL,899051,"New York Stock Exchange, Inc.",United States,United States,Allstate Corp,0C000009DD,0P000000A3,,,Insurance - Property & Casualty,7/5/2022,128.9,"35,445.31",0.09,11.18,144.46,106.11,1.03,6/2/2022,0.85,"[1998-07-02]	1.000000	2.000000",5/23/2022,6/3/2022,7/1/2022,,2.58,,2.64,8.8,7.59,-1.38,3/31/2022,11.85,"50,304.00","3,636.00",3.28,US Dollar,Yes,Yes,Financial Services,;;Direct Property and Casualty Insurance Carriers;,";FIRE, MARINE, & CASUALTY INSURANCE;",,,,,,Financial Services,Insurance,Insurance: Property-casualty,,Large Value,Slow Growth,"Brett Horn, CFA",3/24/2022,Common Stock,,6/3/1993,,,,,,,,,,,,,,,,,,No
Alphabet Inc Class A,GOOGL,1652044,Nasdaq - All Markets,United States,United States,Alphabet Inc,0C000007XQ,0P000002HD,,,Internet Content & Information,7/5/2022,"2,265.26","1,495,584.37",0.05,19.72,"3,030.93","2,037.69",0.63,,,,,,,,,,,4.88,5.03,4.16,3/31/2022,110.53,"270,334.00","74,539.00",,US Dollar,Yes,Yes,Communication Services,;Internet Publishing and Broadcasting and Web Search Portals;;,INFORMATION RETRIEVAL SERVICES,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,Ali Mogharabi,2/1/2022,Common Stock,5/11/2012,8/19/2004,,,,,,,,,,,,,,,,,,No
Alphabet Inc Class C,GOOG,1652044,Nasdaq - All Markets,United States,United States,Alphabet Inc,0C000007XQ,0P00012BBI,,,Internet Content & Information,7/5/2022,"2,277.74","1,495,584.37",0.05,19.79,"3,042.00","2,044.16",0.63,,,,,,,,,,,4.85,5,4.41,3/31/2022,110.53,"270,334.00","74,539.00",,US Dollar,Yes,No,Communication Services,Internet Publishing and Broadcasting and Web Search Portals,INFORMATION RETRIEVAL SERVICES,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,Ali Mogharabi,2/1/2022,Common Stock,,8/19/2004,,,,,,,,,,,,,,,,,,No
Altria Group Inc,MO,764180,"New York Stock Exchange, Inc.",United States,United States,Altria Group Inc,0C000009E2,0P000000AV,,,Tobacco,7/5/2022,41.72,"75,536.45",0.04,25.32,57.05,41,0.8,6/14/2022,0.9,"[1974-06-03]	1.000000	2.000000;[1979-06-01]	1.000000	2.000000;[1986-04-11]	1.000000	2.000000;[1989-10-11]	1.000000	4.000000;[1997-04-11]	1.000000	3.000000;",5/18/2022,6/15/2022,7/11/2022,,8.63,,8.63,3.95,11.55,-1.25,3/31/2022,1.65,"21,050.00","3,010.00",3.56,US Dollar,Yes,Yes,Consumer Defensive,;Tobacco Manufacturing;,CIGARETTES,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,,Large Value,High Yield,"Philip Gorham, CFA, FRM",5/3/2022,Common Stock,,7/2/1985,,,,,,,,,,,,,,,,,,No
Amazon.com Inc,AMZN,1018724,Nasdaq - All Markets,United States,United States,Amazon.com Inc,0C000009EB,0P000000B7,,,Internet Retail,7/5/2022,113.5,"1,154,795.49",0.02,51.23,188.65,101.26,0.59,,,"[1998-06-02]	1.000000	2.000000;[1999-01-05]	1.000000	3.000000;[1999-09-02]	1.000000	2.000000;[2022-06-06]	1.000000	20.000000;",,,,,,,,1.83,1.46,3.6,3/31/2022,2.07,"477,748.00","21,413.00",,US Dollar,Yes,Yes,Consumer Cyclical,Electronic Shopping and Mail-Order Houses;;;;;,;CATALOG & MAIL ORDER HOUSES;;,,,,,,Consumer Discretionary,Retail,Diversified retail,,Large Growth,Cyclical,"Dan Romanoff, CPA",6/3/2022,Common Stock,5/11/2012,5/15/1997,,,,,,,,,,,,,,,,,,No
Amcor PLC Ordinary Shares,AMCR,1748790,"New York Stock Exchange, Inc.",United States,Switzerland,Amcor PLC,0C000009EL,0P0001HR5T,,JE00BJ1F3079,Packaging & Containers,7/5/2022,12.44,"18,694.42",0.05,20.05,13.61,10.66,,5/24/2022,0.12,,5/3/2022,5/25/2022,6/14/2022,,3.84,,3.86,4.98,6.4,-0.72,3/31/2022,0.62,"14,089.00",951,0.48,US Dollar,Yes,Yes,Consumer Cyclical,,,,,,,,Materials & Processing,Industrial Materials & Processes,Containers and packaging,,Large Blend,,,,Common Stock,,6/11/2019,,,,,,,,,,,,,,,,,,No
Ameren Corp,AEE,1002910,"New York Stock Exchange, Inc.",United States,United States,Ameren Corp,0C000009EV,0P000000BP,,,Utilities - Regulated Electric,7/5/2022,87.99,"22,721.35",0.04,23.17,99.2,79.98,1.06,6/7/2022,0.59,,5/13/2022,6/8/2022,6/30/2022,,2.59,,2.68,4.43,4.64,-4.56,3/31/2022,3.9,"6,707.00","1,009.00",2.24,US Dollar,Yes,Yes,Utilities,;Other Electric Power Generation;;;,ELECTRIC & OTHER SERVICES COMBINED;;,,,,,,Utilities,Utilities,Utilities: Miscellaneous,,Mid Blend,Slow Growth,"Andrew Bischof, CFA, CPA",6/23/2022,Common Stock,,1/2/1998,,,,,,,,,,,,,,,,,,No
American Airlines Group Inc,AAL,6201,Nasdaq - All Markets,United States,United States,American Airlines Group Inc,0C00000ABD,0P00011HZW,,,Airlines,7/5/2022,13.88,"9,015.27",-0.26,,22.35,11.93,0.73,2/4/2020,0.1,"[2013-12-09]	1.000000	0.373500",1/23/2020,2/5/2020,2/19/2020,,,,,-26.22,-13.36,5.71,3/31/2022,-3.64,"34,773.00","-2,378.00",0,US Dollar,Yes,Yes,Industrials,Scheduled Passenger Air Transportation,"AIR TRANSPORTATION, SCHEDULED",,,,,,Producer Durables,Transportation & Freight,Air transport,,Mid Blend,Cyclical,"Burkett Huey, CFA",4/21/2022,Common Stock,,12/10/2013,,,,,,,,,,,,,,,,,,No
American Electric Power Co Inc,AEP,4904,Nasdaq - All Markets,United States,United States,American Electric Power Co Inc,0C000009FQ,0P000000CR,,,Utilities - Regulated Electric,7/5/2022,93.58,"48,057.46",0.06,18.38,104.81,80.22,1.03,5/9/2022,0.78,,4/26/2022,5/10/2022,6/10/2022,,3.29,,3.33,5.58,5.33,-4.46,3/31/2022,5.22,"17,103.50","2,627.80",3.04,US Dollar,Yes,Yes,Utilities,;;Electric Power Distribution;;,ELECTRIC SERVICES;;,,,,,,Utilities,Utilities,Utilities: Electrical,,Large Blend,Slow Growth,"Andrew Bischof, CFA, CPA",5/2/2022,Common Stock,,9/1/1949,,,,,,,,,,,,,,,,,,No
American Express Co,AXP,4962,"New York Stock Exchange, Inc.",United States,United States,American Express Co,0C000009FT,0P000000CU,,,Credit Services,7/5/2022,139.65,"105,164.87",0.07,13.85,199.55,134.3,0.81,6/30/2022,0.52,"[1972-04-26]	1.000000	3.000000;[1983-02-11]	3.000000	4.000000;[1983-08-11]	2.000000	3.000000;[1987-05-11]	1.000000	2.000000;[2000-05-11]	1.000000	3.000000;",5/4/2022,7/1/2022,8/10/2022,,1.36,,1.49,7.17,6.99,-0.53,3/31/2022,10.01,"45,423.00","7,924.00",1.81,US Dollar,Yes,Yes,Financial Services,;Sales Financing;;;,PERSONAL CREDIT INSTITUTIONS;;;,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Large Growth,Cyclical,Michael Miller,3/17/2022,Common Stock,,5/18/1977,,,,,,,,,,,,,,,,,,No
American International Group Inc,AIG,5272,"New York Stock Exchange, Inc.",United States,United States,American International Group Inc,0C00000A91,0P000000D5,,,Insurance - Diversified,7/5/2022,51.13,"40,504.78",0.23,4.42,65.73,44.54,0.79,6/15/2022,0.32,"[1974-04-01]	4.000000	5.000000;[1977-03-29]	4.000000	5.000000;[1981-05-28]	2.000000	3.000000;[1983-04-26]	4.000000	5.000000;[1986-11-18]	1.000000	2.000000;[1990-07-23]	4.000000	5.000000;[1993-07-30]	2.000000	3.000000;[1995-07-31]	2.000000	3.000000;[1997-07-28]	2.000000	3.000000;[1998-08-03]	2.000000	3.000000;[1999-08-02]	4.000000	5.000000;[2000-07-31]	2.000000	3.000000;[2009-07-01]	20.000000	1.000000;",5/3/2022,6/16/2022,6/30/2022,,2.5,,2.5,22.61,10.56,-1.71,3/31/2022,11.56,"53,302.00","9,772.00",1.28,US Dollar,Yes,Yes,Financial Services,;;;;;Direct Property and Casualty Insurance Carriers;,;;;;LIFE INSURANCE;;,,,,,,Financial Services,Insurance,Insurance: Multi-line,,Large Value,Slow Growth,"Brett Horn, CFA",3/16/2022,Common Stock,,10/10/1984,,,,,,,,,,,,,,,,,,No
